0,967,615,279,234,175,264,209,498,155,63,422,75,100,283,54,21,34,68,18
967,0,280,220,142,112,197,142,142,75,34,248,51,59,71,17,1,22,39,11
615,280,0,194,66,50,142,86,93,62,6,250,25,56,73,8,10,4,23,2
279,220,194,0,59,72,310,96,54,59,9,313,31,59,42,35,1,21,22,1
234,142,66,59,0,221,71,106,71,31,104,103,38,28,26,28,1,16,57,24
175,112,50,72,221,0,78,127,36,41,36,82,21,18,15,23,23,1,54,12
264,197,142,310,71,78,0,182,54,67,11,399,54,79,49,48,8,18,39,19
209,142,86,96,106,127,182,0,46,52,12,170,30,47,40,60,23,27,187,2
498,142,93,54,71,36,54,46,0,35,16,97,32,35,174,31,13,35,27,1
155,75,62,59,31,41,67,52,35,0,13,187,197,58,45,39,11,6,21,1
63,34,6,9,104,36,11,12,16,13,0,31,1,9,1,14,1,14,5,6
422,248,250,313,103,82,399,170,97,187,31,0,104,206,88,64,7,23,46,1
75,51,25,31,38,21,54,30,32,197,1,104,0,31,11,17,1,7,20,6
100,59,56,59,28,18,79,47,35,58,9,206,31,0,22,45,1,14,18,11
283,71,73,42,26,15,49,40,174,45,1,88,11,22,0,16,1,24,24,1
54,17,8,35,28,23,48,60,31,39,14,64,17,45,16,0,1,18,24,1
21,1,10,1,1,23,8,23,13,11,1,7,1,1,1,1,0,1,15,1
34,22,4,21,16,1,18,27,35,6,14,23,7,14,24,18,1,0,1,4
68,39,23,22,57,54,39,187,27,21,5,46,20,18,24,24,15,1,0,1
18,11,2,1,24,12,19,2,1,1,6,1,6,11,1,1,1,4,1,0
