City,2021,2024
London,46600,51500
Paris,40500,45500
Amsterdam,52000,55000
Frankfurt,50000,54000
Madrid,30000,34000
Barcelona,30000,34000
Munich,50000,54000
Rome,35000,38000
Dublin,94000,120000
Stockholm,54000,56000
Lisbon,23000,26000
Berlin,50000,54000
Helsinki,48000,50000
Warsaw,17700,21000
Edinburgh,46600,51500
Bucharest,14000,17000
Heraklion,19500,23000
Reykjavik,57000,60000
Palermo,35000,38000
Madeira,23000,26000
